Well,Pool,Volume
A1,1,1.938454083
A2,1,10
A3,1,2.29226361
A4,2,1.10619469
A5,2,2.307204245
A6,2,1
A7,3,10
A8,3,2.6272578
A9,3,1.227747084
A10,4,10
A11,4,10
A12,4,1
B1,1,1.12406913
B2,1,3.649635036
B3,1,1.255965838
B4,2,1.387443635
B5,2,1.598529353
B6,2,10
B7,3,1.784917448
B8,3,1
B9,3,1.13237459
B10,4,1
B11,4,1
B12,4,1
C1,1,1
C2,1,1.243858449
C3,1,1
C4,2,1
C5,2,1
C6,2,1
C7,3,10
C8,3,10
C9,3,1
C10,4,10
C11,4,1
C12,4,10
D1,1,2.225189141
D2,1,1
D3,1,1
D4,2,1
D5,2,1
D6,2,1
D7,3,2.336312131
D8,3,10
D9,3,1
D10,4,1.197174668
D11,4,1
D12,4,1
E1,1,1.318261213
E2,1,1
E3,1,1
E4,2,1
E5,2,1
E6,2,1
E7,3,1
E8,3,1
E9,3,2.06921525
E10,4,10
E11,4,10
E12,4,10
F1,1,2.722755428
F2,1,1
F3,1,1
F4,2,1
F5,2,10
F6,2,1
F7,3,1
F8,3,1.184027469
F9,3,10
F10,4,10
F11,4,10
F12,4,10
G1,1,1.146230335
G2,1,1.01918618
G3,1,1.336496375
G4,2,1
G5,2,1
G6,2,1
G7,3,10
G8,3,1.316699036
G9,3,10
G10,4,10
G11,4,10
G12,4,10
H1,1,3.868846117
H2,1,1.085187195
H3,1,1
H4,2,1
H5,2,1
H6,2,4.028603082
H7,3,1
H8,3,1
H9,3,10
H10,4,10
H11,4,10
H12,4,10
