Well,Pool,Volume
A1,1,1
A2,1,1.116850482
A3,1,1
A4,2,1
A5,2,4.389333919
A6,2,10
A7,3,10
A8,3,1
A9,3,2.015214872
A10,4,10
A11,4,10
A12,4,1
B1,1,1
B2,1,1
B3,1,1
B4,2,10
B5,2,1
B6,2,1
B7,3,10
B8,3,1
B9,3,1.551109043
B10,4,1.061176845
B11,4,1
B12,4,1
C1,1,1.328197636
C2,1,1
C3,1,1
C4,2,1
C5,2,1
C6,2,10
C7,3,1
C8,3,4.960932655
C9,3,1
C10,4,1
C11,4,1
C12,4,10
D1,1,1.236628949
D2,1,1
D3,1,10
D4,2,1
D5,2,1
D6,2,1
D7,3,10
D8,3,1
D9,3,1.792275293
D10,4,2.343704225
D11,4,1
D12,4,1
E1,1,1.824651035
E2,1,10
E3,1,1
E4,2,1
E5,2,10
E6,2,1
E7,3,1.246183563
E8,3,2.802101576
E9,3,1
E10,4,1.311303436
E11,4,1
E12,4,1
F1,1,1
F2,1,1
F3,1,1
F4,2,1
F5,2,1
F6,2,1
F7,3,2.341783268
F8,3,10
F9,3,1
F10,4,10
F11,4,1
F12,4,1.001201442
G1,1,1
G2,1,6.805035726
G3,1,1
G4,2,1
G5,2,1
G6,2,1
G7,3,1
G8,3,1
G9,3,1
G10,4,1
G11,4,1
G12,4,1
H1,1,10
H2,1,1
H3,1,10
H4,2,1
H5,2,10
H6,2,10
H7,3,1.56097561
H8,3,5.802146794
H9,3,1
H10,4,1
H11,4,1
H12,4,2.119879167
