Combination,Forward,Fvol,Reverse,Rvol,Water
Comb1,A1,5,A1,5,40
Comb2,A2,5,A2,5,40
Comb3,A3,5,A3,5,40
Comb4,A4,5,A4,5,40
Comb5,A5,5,A5,5,40
Comb6,A6,5,A6,5,40
Comb7,B1,5,B1,5,40
Comb8,B2,5,B2,5,40
Comb9,B3,5,B3,5,40
Comb10,B4,5,B4,5,40
Comb11,B5,5,B5,5,40
Comb12,B6,5,B6,5,40
Comb13,C1,5,C1,5,40
Comb14,C2,5,C2,5,40
Comb15,C3,5,C3,5,40
Comb16,C4,5,C4,5,40
Comb17,C5,5,C5,5,40
Comb18,C6,5,C6,5,40
Comb19,D1,5,D1,5,40
Comb20,D2,5,D2,5,40
Comb21,D3,5,D3,5,40
Comb22,D4,5,D4,5,40
Comb23,D5,5,D5,5,40
Comb24,D6,5,D6,5,40
