Sample,Rack,Position,Well,Volume
C27F,1,A1,A1,3
O32,1,A2,A2,3
P49F,1,A3,A3,3
R05F,1,A4,A4,3
P47F,1,A5,A5,3
C20F,1,A6,A6,3
B20,1,B1,A7,3
O20,1,B2,A8,3
H45,1,B3,A9,3
B15,1,B4,A10,3
B11,1,B5,A11,3
H50,1,B6,A12,3
C10F,1,C1,B1,3
O16,1,C2,B2,3
P57F,1,C3,B3,3
P25F,1,C4,B4,3
P02F,1,C5,B5,3
B4,1,C6,B6,3
P52F,1,D1,B7,3
P76F,1,D2,B8,3
P74F,1,D3,B9,3
P45F,1,D4,B10,3
E07,1,D5,B11,3
E43,1,D6,B12,3
C07F,2,A1,C1,3
C18F,2,A2,C2,3
P05F,2,A3,C3,3
E50,2,A4,C4,3
R02F,2,A5,C5,3
P36F,2,A6,C6,3
B6,2,B1,C7,3
B16,2,B2,C8,3
E19,2,B3,C9,3
C06F,2,B4,C10,3
P50F,2,B5,C11,3
E17,2,B6,C12,3
C09F,2,C1,D1,3
H48,2,C2,D2,3
O01,2,C3,D3,3
H30,2,C4,D4,3
P58F,2,C5,D5,3
H40,2,C6,D6,3
H29,2,D1,D7,3
P04F,2,D2,D8,3
P70F,2,D3,D9,3
H22,2,D4,D10,3
H16,2,D5,D11,3
P36F,2,A6,D12,3
H25,3,A1,E1,3
C25F,3,A2,E2,3
R07F,3,A3,E3,3
E02,3,A4,E4,3
P77F,3,A5,E5,3
O14,3,A6,E6,3
P01F,3,B1,E7,3
O30,3,B2,E8,3
E27,3,B3,E9,3
O11,3,B4,E10,3
P26F,3,B5,E11,3
P68F,3,B6,E12,3
E24,3,C1,F1,3
O21,3,C2,F2,3
E36,3,C3,F3,3
C16F,3,C4,F4,3
B22,3,C5,F5,3
E54,3,C6,F6,3
H52,3,D1,F7,3
B26,3,D2,F8,3
E34,3,D3,F9,3
E31,3,D4,F10,3
E05,3,D5,F11,3
C15F,3,D6,F12,3
P34F,4,A1,G1,3
H23,4,A2,G2,3
O30,3,B2,G3,3
H44,4,A4,G4,3
R12F,4,A5,G5,3
C30F,4,A6,G6,3
P32F,4,B1,G7,3
E40,4,B2,G8,3
E42,4,B3,G9,3
C08F,4,B4,G10,3
E23,4,B5,G11,3
C34F,4,B6,G12,3
O29,4,C1,H1,3
P18F,4,C2,H2,3
H39,4,C3,H3,3
E33,4,C4,H4,3
C17F,4,C5,H5,3
B5,4,C6,H6,3
O15,4,D1,H7,3
E26,4,D2,H8,3
H49,4,D3,H9,3
H35,4,D4,H10,3
R04F,4,D5,H11,3
