Sample,Rack,Position,Well,Volume
Sample1,1,A1,A1,3
Sample2,1,A2,A2,3
Sample3,1,A3,A3,3
Sample4,1,A4,A4,3
Sample5,1,A5,A5,3
Sample6,1,A6,A6,3
Sample7,1,B1,A7,3
Sample8,1,B2,A8,3
Sample9,1,B3,A9,3
Sample10,1,B4,A10,3
Sample11,1,B5,A11,3
Sample12,1,B6,A12,3
Sample13,1,C1,B1,3
Sample14,1,C2,B2,3
Sample15,1,C3,B3,3
Sample16,1,C4,B4,3
Sample17,1,C5,B5,3
Sample18,1,C6,B6,3
Sample19,1,D1,B7,3
Sample20,1,D2,B8,3
Sample21,1,D3,B9,3
Sample22,1,D4,B10,3
Sample23,1,D5,B11,3
Sample24,1,D6,B12,3
Sample25,2,A1,C1,3
Sample26,2,A2,C2,3
Sample27,2,A3,C3,3
Sample28,2,A4,C4,3
Sample29,2,A5,C5,3
Sample30,2,A6,C6,3
Sample31,2,B1,C7,3
Sample32,2,B2,C8,3
Sample33,2,B3,C9,3
Sample34,2,B4,C10,3
Sample35,2,B5,C11,3
Sample36,2,B6,C12,3
Sample37,2,C1,D1,3
Sample38,2,C2,D2,3
Sample39,2,C3,D3,3
Sample40,2,C4,D4,3
Sample41,2,C5,D5,3
Sample42,2,C6,D6,3
Sample43,2,D1,D7,3
Sample44,2,D2,D8,3
Sample45,2,D3,D9,3
Sample46,2,D4,D10,3
Sample47,2,D5,D11,3
Sample48,2,D6,D12,3
Sample49,3,A1,E1,3
Sample50,3,A2,E2,3
Sample51,3,A3,E3,3
Sample52,3,A4,E4,3
Sample53,3,A5,E5,3
Sample54,3,A6,E6,3
Sample55,3,B1,E7,3
Sample56,3,B2,E8,3
Sample57,3,B3,E9,3
Sample58,3,B4,E10,3
Sample59,3,B5,E11,3
Sample60,3,B6,E12,3
Sample61,3,C1,F1,3
Sample62,3,C2,F2,3
Sample63,3,C3,F3,3
Sample64,3,C4,F4,3
Sample65,3,C5,F5,3
Sample66,3,C6,F6,3
Sample67,3,D1,F7,3
Sample68,3,D2,F8,3
Sample69,3,D3,F9,3
Sample70,3,D4,F10,3
Sample71,3,D5,F11,3
Sample72,3,D6,F12,3
Sample73,4,A1,G1,3
Sample74,4,A2,G2,3
Sample75,4,A3,G3,3
Sample76,4,A4,G4,3
Sample77,4,A5,G5,3
Sample78,4,A6,G6,3
Sample79,4,B1,G7,3
Sample80,4,B2,G8,3
Sample81,4,B3,G9,3
Sample82,4,B4,G10,3
Sample83,4,B5,G11,3
Sample84,4,B6,G12,3
Sample85,4,C1,H1,3
Sample86,4,C2,H2,3
Sample87,4,C3,H3,3
Sample88,4,C4,H4,3
Sample89,4,C5,H5,3
Sample90,4,C6,H6,3
Sample91,4,D1,H7,3
Sample92,4,D2,H8,3
Sample93,4,D3,H9,3
Sample94,4,D4,H10,3
Sample95,4,D5,H11,3
Sample96,4,D6,H12,3
